"Data Source","World Development Indicators",

"Last Updated Date","2015-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Switzerland","CHE","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6946000","6730000","7039000","7185000","7154000","7821000","7455000","6868000","6530000","","7229000","7863000","8448000","8608000","8294000","8628000","8534000","8566000","8967000","","",
"Channel Islands","CHI","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1540000","1450000","1644000","1759000","1632000","1742000","1723000","1412000","1614000","1785000","2027000","2253000","2507000","2710000","2760000","2801000","3137000","3554000","3576000","","",
"China","CHN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20034000","22765000","23770000","25073000","27047000","31229000","33167000","36803000","32970000","41761000","46809000","49913000","54720000","53049000","50875000","55664000","57581000","57725000","55686000","","",
"Cote d'Ivoire","CIV","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","182000","205000","231000","252000","270000","289000","","","",
"Cameroon","CMR","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","451000","477000","487000","498000","573000","604000","817000","912000","","",
"Congo, Rep.","COG","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37000","39000","27000","20000","14000","19000","27000","22000","23000","31000","35000","46000","55000","62000","94000","194000","218000","257000","297000","","",
"Colombia","COL","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1399000","631000","639000","674000","546000","557000","616000","567000","625000","791000","933000","2045000","2254000","2317000","2364000","1405000","2042000","2175000","2288000","","",
"Comoros","COM","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23000","24000","26000","27000","24000","24000","19000","19000","21000","23000","26000","29000","15000","15000","11000","15000","19000","","","","",
"Cabo Verde","CPV","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28000","37000","45000","52000","67000","115000","134000","126000","150000","157000","198000","242000","267000","285000","287000","336000","428000","482000","503000","","",
"Costa Rica","CRI","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","785000","781000","811000","943000","1032000","1088000","1131000","1113000","1239000","1453000","1679000","1725000","1980000","2089000","1923000","2100000","2192000","2343000","2428000","","",
"Caribbean small states","CSS","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4485000","4563000","4706000","4724000","4858000","4991000","4850000","4844000","5105000","5425000","5591000","5814000","5778000","5746000","5489000","5704000","5847000","6020000","5969515.65976382","","",
"Cuba","CUB","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","742000","999000","1153000","1390000","1561000","1741000","1736000","1656000","1847000","2017000","2261000","2150000","2119000","2316000","2405000","2507000","2688000","2815000","2829000","","",
"Curacao","CUW","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","224000","214000","205000","199000","198000","191000","205000","218000","221000","223000","222000","234000","300000","409000","367000","342000","390000","421000","441000","","",
"Cayman Islands","CYM","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","361000","373000","381000","404000","395000","354000","334000","303000","294000","260000","168000","267000","292000","303000","272000","288000","309000","322000","345000","","",
"Cyprus","CYP","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2100000","1950000","2088000","2223000","2434000","2686000","2697000","2418000","2303000","2349000","2470000","2401000","2416000","2404000","2141000","2173000","2392000","2465000","2405000","","",
"Czech Republic","CZE","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7641000","9047000","9404000","9539000","9370000","9373000","8390000","8185000","8508000","8908000","9004000","","",
"Germany","DEU","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14847000","15205000","15837000","16511000","17116000","18983000","17861000","17969000","18399000","20137000","21500000","23569000","24421000","24884000","24220000","26875000","28374000","30411000","31545000","","",
"Djibouti","DJI","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21000","20000","20000","21000","21000","20000","22000","23000","23000","26000","30000","40000","40000","54000","58000","51000","56000","60000","63000","","",
"Dominica","DMA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60000","63000","65000","66000","74000","70000","66000","69000","73000","80000","79000","84000","81000","81000","75000","77000","76000","79000","78000","","",
"Denmark","DNK","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2124000","2125000","2158000","2073000","2023000","3535000","3684000","3436000","3474000","4421000","9178000","9256000","9284000","9016000","8547000","8744000","7864000","8443000","8557000","","",
"Dominican Republic","DOM","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1776000","1926000","2211000","2309000","2649000","2978000","2882000","2811000","3282000","3450000","3691000","3965000","3980000","3980000","3992000","4125000","4306000","4563000","4690000","","",
"Algeria","DZA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","520000","605000","635000","678000","749000","866000","901000","988000","1166000","1234000","1443000","1638000","1743000","1772000","1912000","2070000","2395000","2634000","","","",
"East Asia & Pacific (developing only)","EAP","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43648401.3649234","48045783.1805044","48681685.0392061","49228161.6166156","54986999.5636663","62915038.6387362","68346956.5390786","73991289.4045774","65773988.1372142","84173227.8689594","91159243.0472642","98377756.2407614","109755806.287258","110427331.300905","108870600.414193","119943927.377284","128000809.753359","134607054.228076","141328144.856052","","",
"East Asia & Pacific (all income levels)","EAS","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77667504.9230316","84171500.0344063","84609291.3336338","84624640.5516526","93455496.5506479","105056860.854918","110846354.454764","119878638.264185","107668570.633773","137768124.010307","148703840.038454","160073295.122712","177109654.605462","175810258.399803","172929925.087517","195025829.40374","206728182.12585","221303864.82555","235796195.615736","","",
